収録カードナンバー,レアリティ,日本語名,フリガナ,ルビ,種類,所属軍,属性1,属性2,属性3,属性4,Lv,ATK,HP,STK,左上アイコン,左下アイコン,テキスト,CNT,フレーバーテキスト,
GB01-119,★,エーテルフィールド,,,イベント,マジカルユニバース,魔法,,,,0,,,,,,,,何とかしてエブリデイクライムに帰りたいリクルーターだったが、エブリデイクライムとエドは宿敵同士。出会う度に100％戦闘になって逃げ出すチャンスもありゃしない。,
GB01-120,★,絶対爆発！ 宇宙ミミック,,,イベント,マジカルユニバース,怪異,,,,0,,,,,,,,宇宙ミミックは、並の宇宙船では逃げ切れない速度で獲物を追う。つまり偽装して獲物を待ち構えるライフスタイルとあっていない。,
GB01-121,★,突然のワームホール,,,イベント,マジカルユニバース,アクシデンツ,,,,0,,,,,,,,"「このカードの枠のデザインが、折りたたまれた余剰空間を開放するんだ。」アドリアーノは言った。
「そう感じられるようになったんだよ。カードが“門”になるってね。」",
GB01-122,★,キャプチャービーム,,,イベント,マジカルユニバース,ミリタリー,,,,0,,,,,,,,宇宙の迷子になった二人は、冒険家エドに救助された。リクルーターはエブリデイクライムの構成員である事を秘密にするしかなかった。,
GB01-123,★★★★,白骨姫,,,ユニット,侵略次元,神,,,,2,4,4,2,,,,,"その表情は、その心を表さず、その姿も、その有様と欠片すら重ならない。
",
GB01-124,★★★,デスティニー・ソード,,,イベント,侵略次元,歴史,,,,3,,,,,,,,異界の挑戦状を叩きつけられたあの日から……世界はもう、決して元には戻らない。,
GB01-125,★,ヴァムハ,,,ユニット,侵略次元,オブジェ,,,,2,4,4,2,,,,,"お前は何だ。私を何処へ連れて行くんだ?!
",
GB01-126,★,デバウラー,,,ユニット,侵略次元,DWM,,,,1,2,2,1,,,,,ウォルナーでも、アークでも、侵略次元の者たちと意志を交わせた者はいない。心を読んだものは皆、発狂した。,
GB01-127,★,先触れの蝶,,,ユニット,侵略次元,オブジェ,,,,0,3,4,1,,,,,"侵略次元の尖兵に唯一共通するもの。
それは絶対的な拒絶。数千年間、様々な世界が試みて、ただの一度もコミュニケート出来なかったという、絶望的な事実。",
GB01-S,SEC,マグヴァリウスの業火,,,イベント,ウォルナー,ドラゴン,炎,,,3,,,,,,,,成したい事のみならず、成すべき事が世界の理となる。それがお前が掴むべき、王の力。,
