収録カードナンバー,レアリティ,日本語名,フリガナ,ルビ,種類,所属軍,属性1,属性2,属性3,属性4,Lv,ATK,HP,STK,左上アイコン,左下アイコン,テキスト,CNT,フレーバーテキスト
2021GB04-065,★★,大いなる力を我に,,,イベント,東妖軍,タクティクス,テクノロジー,,,2,,,,,,使用タイミング：通常 ■以下のどちらかを行う。 ◯デッキの上から３枚を見る。その中の〈ロボ〉１枚を、味方の〈ロボ〉のユニットのソウルに入れてもよい。この効果でソウルを与えられたユニットは【ソウルガード】を得る。残りを任意の順でデッキの下に置く。 ◯デッキからレジェンドではないレベル２以下の〈ヒーロー〉１体を特殊召喚するか、【装着】できるユニットなら【装着】してもよい。,,是非も無し。山田は軍の規約を破り実験兵器を起動させた。
2021GB04-066,★★,竜神旋風,,,イベント,東妖軍,戦技,タクティクス,,,3,,,,CNT,,使用タイミング：通常 【コスト軽減】場に君の“竜型決戦兵器”があれば、２コストでプレイしてもよい。 ■敵ユニット１体以上を選び、君の攻撃ゾーンにある全てのユニットの合計ATKと等しいダメージを割り振る。,これをプレイする。,ジャキコン！ 若雷が両肘を垂直に曲げ、独特なファイティング・ポーズをとる。 次の瞬間、アスファルトの地面が砕け、突風が巻き起こったかと思うと、若雷の手刀は敵の胸部を粉砕していた。（迅雷調布防衛隊異聞より）
2021GB04-067,★★,護国の鉄神,,,フィールド,東妖軍,まじない,歴史,,,1,,,,CNT,,■［これを墓地に置く］以下のいずれかを行う。 ◯通常：君の墓地・ダメージゾーンの《神器合神 ダイジンキ》１枚以上を選び、デッキの下に置く。 ◯通常：［DR４］する事で、デッキからレベル２以下の”益荒男”１体か“神器”１体を特殊召喚する。この効果で特殊召喚したユニットの【OD】を使う。 ◯即時：ターン終了時まで、君の〈ロボ〉は効果ダメージを受けない。 ◯レベル２以上の味方の〈ロボ〉が場に出た時、［DR２］する事で、ライフを１回復する。,これをフィールドゾーンに置く。,なし
2021GB04-068,★,竜型決戦兵器 “裂雷” 空戦形態,サクイカズチ,,ユニット,東妖軍,ドラゴン,ミリタリー,,,2,3,2,2,,,■「威力偵察」 これが攻撃した時、相手のセットカード１枚を選び、破壊する。 ■「スタンダップモード」 これが攻撃された時、［DR１、これをデッキの下に置く］事で、デッキから《竜型決戦兵器 “裂雷” 陸戦形態》１体をこのユニットが置かれていたゾーンにレスト状態で特殊召喚してもよい。,,「変形機構の修復は、次回出撃時には間に合わせます。」-裂雷整備班-
2021GB04-069,★,陸戦拡張兵装 “降魔”,ごうま,,ユニット,東妖軍,ミリタリー,ロボ,,,1,4,4,1,,,■他の味方の〈ミリタリー・ロボ〉にダメージが与えられる時、その全てのダメージをこのユニットに移し替えてもよい。,,長引く戦いから、東妖軍ドクトリンは人的被害を最低限に抑える方向へ修正。“降魔”はその生存性の高さから正式採用された。
2021GB04-070,★,鎌鼬のジロー,,,ユニット,東妖軍,怪異,ビースト,,,1,2,5,1,,,【待機】（【待機】を持つユニットは、セットできる） ■これはセットゾーンから通常召喚できる。 ■「僕ってセンターが似合うよね。【ターン１】」 これが守備ゾーンに通常召喚された時、［DR３］してもよい。そうしたら、デッキから“鎌鼬のジョー”と“鎌鼬のサブロー”を１体ずつ特殊召喚する。,,「この街、好きだったんだけどな。」ジローは人間のように悲しげな表情を浮かべた。 「……で、どのぐらいで元に戻るの？２日ぐらい？」
2021GB04-071,★,緑菊,みどりぎく,,ユニット,東妖軍,戦士,フューチャーメン,レギンレイヴ,,0,2,1,2,TD OD,,【TD】【OD】これの『移ろふほどに』を使う。 ■「移ろふほどに」 これが『シグルーン』で場に出た時、相手の墓地のカード１枚を選び、除外する。,,菊の花は弔い花。だけど私は、ただ貴方を切り伏せる為だけに有る。
2021GB04-072,★,猫反木綿,ねこたんもめん,,ユニット,東妖軍,怪異,布,ビースト,,0,3,3,0,OD,,【OD】「もふもふ・ぐるぐる」 ：［これを墓地に置く］敵ユニット１体を選ぶ。それは全ての能力を次のターン開始時まで失う。,,布団にすると、天にも登る気持ちよさ。そのまま天国に連れて行かれる。
2021GB04-073,★,夜道怪,やどうかい,,ユニット,東妖軍,怪異,死影,戦士,闇,-1,5,2,2,,,【召喚条件】（これを場に出す際、この処理を実行しなければならない）［場の君の〈怪異・死影〉１枚を破壊する］か［DR２/怪異・死影］する。そうしなければ、これを墓地に置く。 ■「霊鳴撃」 これが敵ユニットを破壊した時、相手に１ダメージを与える。,,なし
2021GB04-074,★,隠れんぼ,,,イベント,東妖軍,パラノーマル,まじない,闇,,1,,,,,,使用タイミング：通常 ■以下のどちらかを行う。 ◯相手の墓地のカードを２枚まで選び、除外する。 ◯レベル１以下の敵ユニット１体を選び、場の味方ユニット１体のソウルに入れる。ターン終了時、この効果でソウルに入れたカードのコントロールを相手に戻す。 ■墓地のこのカードは、２枚として数えてもよい。,,怪異、妖怪は情報生命体。人の心と、その文化の有り様とともにある。かれらは鏡。我ら人間の側に、ずっと昔から共に居た。
2021GB04-075,★,斬り込み,,,イベント,東妖軍,気合,戦技,,,0,,,,,,使用タイミング：即時 ■味方ユニット１体を選び、ターン終了時までATK＋４する。,,チェストオオオオッ!!
2021GB04-076,★,ローラーダッシュ,,,イベント,東妖軍,戦技,タクティクス,,,0,,,,,,使用タイミング：通常 ■味方ユニット１体を選び、次の相手ターン終了時まで【警戒】と【反撃】を与える。,,体高６メートル未満が適切。都市インフラにおいて効率的に運用可能な「陸戦拡張兵装」は、“降魔”“熊羆”によって完成された。
2021GB04-077,★,猫まっしぐら,,,イベント,東妖軍,神,タクティクス,テクノロジー,ビジネス,0,,,,CNT,,使用タイミング：通常 ■君の墓地の“ケットシー”または【ファミリア】を持つユニット１体を選び、特殊召喚する。,これをプレイする。,その伝説の猫缶を食べてしまうと、「全てを知った猫」になってしまうのだ。ただの猫では居られなくなり、虚無へと堕ちゆく事にニャる……だからそれは、僕にくれニャさい。
2021GB04-078,★,山は青き 水は清き ふるさと,,,イベント,東妖軍,名所,歴史,,,1,,,,CNT,,使用タイミング：通常 ■君の墓地のカード名が異なる〈名所〉を任意の枚数除外し、除外した枚数分、カードを引く。,君のライフが２以下なら、２回復する。,誰かを傷つけることのない、守るための戦争。 憎しみ合ってきた民族も、心通わせることのなかった怪異達も、共に手を取り合って立ち上がる。 有史以来、最も過酷で、最も誇りに満ちた時代。
2021GB04-079,★★★★Ⓛ,宇宙王族アスライア,,,ユニット,マジカルユニバース,キーマン,レギンレイヴ,,,1,2,2,0,CNT,レジェンド,■これは特殊召喚できない。 ■「人竜変異」 通常：これを除外し、君のデッキからレベル２以下の〈ドラゴン〉１体を特殊召喚する。 ■「シグルーン【ターン１】」 通常：［これをゲームから除外する］君のデッキから合計レベルが３以下になるように〈レギンレイヴ〉を２体まで特殊召喚する。,デッキから《スペースドラゴン アスライア》１体を選び、特殊召喚する。,「親愛なる緑色君、ちょっとウォルナーまでお使いを頼みたいんだ。お礼に君の帰るべき場所へと導いてあげよう。」 
2021GB04-080,★★★★,高次夢幻世界のアリス,こうじむげんせかい,,ユニット,マジカルユニバース,アリス,神,,,3,6,6,2,,,■これは守備ゾーンに置けない。 ■「虚空の戦場」 君の墓地の〈A7〉が１種類以下ならば、これのSTKは３になり、【反撃】を得る。 ■「ワンダフル・ワールド」 君の墓地の〈A7〉が７種類以上ならば、これのSTKは5になる。 ■君の手札の〈A7〉は【直衛召喚】を持つ。,,それは未来の可能性。
2021GB04-081,★★★★,デンジャラス軍団団長 ミサイルブッダ,,,ユニット,マジカルユニバース,エブリデイクライム,,,,3,5,5,2,CNT TD,,【TD】君の墓地のレベル２以下の〈エブリデイクライム〉１枚を選び、手札に加える。 ■「即身成仏【ターン１】」 即時：［味方ユニット１体を墓地に置く］相手に１ダメージを与える。 ■「成仏拒否【ターン１】」 通常：［DR４/エブリデイクライム］墓地のこれを特殊召喚する。,「南無阿弥ボンバー」 相手の墓地のカード１枚を選び、相手のダメージゾーンに置く。,拙僧より献じよう。新曲『地獄のサタンもカネ死die!!』 Slay！レッツBACHIATARI!!
2021GB04-082,★★★★,スペースドラゴン アスライア,,,ユニット,マジカルユニバース,覚醒者,ドラゴン,レギンレイヴ,,2,5,4,2,,,■これが場に出た時、デッキの上から３枚を見る。その中の〈ドラゴン・レギンレイヴ〉１枚を、そのカードのレベル＋２の［DR］する事で、特殊召喚してもよい。残りを任意の順でデッキの下に置く。 ■即時：［手札１枚を捨てる］これはターン終了時まで、効果ダメージを受けない。,,可能性を奪う世界と無限の可能性を持つ世界……マジカルユニバースとはアンチ侵略次元なんだ。
2021GB04-083,★★★★,宇宙アーサー・アドリアーノ,,,ユニット,マジカルユニバース,ヒーロー,ロボ,,,3,6,6,3,CNT,,【装着】「コンセクレイション!宇宙アーサー!!」 【装着条件】君のライフが５以下 【装着能力】君は効果ダメージを受けない。【装着】した次のターンの終了時、これを墓地に置く。,以下のどちらかを行う。 ◯君のライフが５以下なら、これを【装着】する。 ◯ライフを１回復する。,聖杯に飛び込んだアドリアーノは、宇宙の意思、銀河聖杯に選ばれし聖騎士となった！
2021GB04-084,★★★★,スペースヒーロー・ サングリップ,,,ユニット,マジカルユニバース,気合,ヒーロー,フューチャーメン,レギンレイヴ,2,4,4,1,,,■「シグルーン【ターン１】」 通常：［これをデッキの下に置く］君のデッキから合計レベルが１以下になるように〈レギンレイヴ〉を２体まで特殊召喚する。 ■「エナジーリバース【ターン１】」 通常：［DR２］君のエナジー１枚を選び、アクトする。,,キャプテン・エドと並び英雄と称される彼女は、「左手に恒星を宿す」と言われている。
2021GB04-085,★★★,聖杯の女神ロボ,,,ユニット,マジカルユニバース,宇宙遺産,気合,ロボ,,3,8,8,4,,,【強制待機】  ■通常：［場の君のカード１枚を墓地に置く］これをセットゾーンから通常召喚する。  ■これがセットゾーンで破壊される際、これを特殊召喚する。,,聖杯の力とは、選ばれし勇者に宇宙最強の戦士、宇宙アーサーの力を与えることであった。だが聖杯そのものが変形した聖杯の女神ロボは、ステゴロで更に強かった！
2021GB04-086,★★★,デンジャラス軍団　サメナイフ,,,ユニット,マジカルユニバース,エブリデイクライム,サメ,レギンレイヴ,,1,5,1,1,,,【貫通】【反撃】,,♫ 天に向かってツバ吐くぜ「BACHIATARI!!」 ご飯も残すぜ「MOTTAINAI!!」 俺たちゃ悪い子ナイフのようさ　うかつにさわると怪我するぜ　優しくグリップしてくれよ ♫ デンジャラス軍団軍歌「BACHIATARIな俺達」作詞作曲 ミサイルBUDDA
2021GB04-087,★★★,宇宙エルフ ジェニファー,,,ユニット,マジカルユニバース,光,ヒーロー,フューチャーメン,レギンレイヴ,1,2,6,0,,,■「レギンレイヴ・ネットワーク」 味方の〈レギンレイヴ〉は相手の効果ダメージを受けない。,,侵略次元に対抗すべく、数多の世界を渡る巨大船“アーク”。その下層に封じられた神がいる。 その者が与える試練に挑み、無数の挑戦者がレギンレイヴの力を獲得した。
2021GB04-088,★★★,たこ美ちゃん,,,ユニット,マジカルユニバース,怪異,たこ,ピポバース,レギンレイヴ,0,3,2,1,,,■「むげんのパワー【ターン３】」 通常：［DR３］ターン終了時まで、これのATK＋１、HP＋１、STK＋１する。,,たこ美ちゃんは故郷の海を守るためにレギンレイヴになったんだよ！たこ美バスターは作った神様も「やりすぎた」って言ってたぐらい強いんだよ！
2021GB04-089,★★,アンダー・ジ・アビス,,,ユニット,マジカルユニバース,死影,ドラゴン,闇,,3,5,6,3,,,【アビスシンフォニア】条件：君の墓地のレベル０、１、２、３ の〈闇〉を１枚ずつ任意の順でデッキの下に置く。 ■これが特殊召喚された時、これはターン終了時まで『これが相手に与えたダメージでは【CNT】出来ない。』を得る。,,可能性に満ちたマジカルユニバースでも、死影の尖兵は癌細胞のように増殖を始めた。
2021GB04-090,★★,スペースシャーク!!,,,ユニット,マジカルユニバース,イレイザー,死影,サメ,たこ,3,6,6,3,TD OD,,【OD】「ゾンビシャーク」 君のダメージゾーンの《スペースシャーク!!》以外の〈サメ〉１体を選び、特殊召喚する。 【TD】「サメテンペスト」 君の墓地の《スペースシャーク!!》以外の〈サメ〉１枚を選び、手札に加える。 ■君の手札のレベル１の〈サメ〉は【直衛召喚】を持つ。 ■「サプライズシャーク」 即時：［DR5/サメ・たこ］ダメージゾーンのこれを特殊召喚する。,,出ると思ってた！知ってた！
2021GB04-091,★★,謎の人脈 クリステル,,,ユニット,マジカルユニバース,フューチャーメン,,,,2,2,2,1,CNT OD,,【OD】「彼女は何かを握っている」 デッキの上から３枚を見る。その中のレベル１以下の〈フューチャーメン〉１体をドライブしてもよい。残りを任意の順でデッキの下に置く。,これの『彼女は何かを握っている』を使用してもよい。,クリステル「あら、私が頼めば誰だって快く来てくれるのよ。例えスペース法王様でもね。」 アドリアーノ「どんな弱みを掴んでるんだ、君は……」
2021GB04-092,★★,何という偶然。,,,イベント,マジカルユニバース,アクシデンツ,歴史,,,0,,,,CNT,,使用タイミング：即時 ■デッキの上から４枚を見る。その中の【オープンカード】を持つカード１枚をドライブする。残りを任意の順でデッキの下に置く。,これをプレイする。,エックスカリバーを手土産に組織へ帰ろうとしたリクルーターは、はずみで敵のブラックホール発生装置に剣をジャストミートさせてしまい、暴走したブラックホールに吸い込まれる。 エド「ありがとう緑色君……君は真の英雄だ。」ポジム「全部偶然ナンジャナイすカ」
2021GB04-093,★★,テセウスの船,,,イベント,マジカルユニバース,テクノロジー,歴史,,,2,,,,,,使用タイミング：通常 ■デッキの上から４枚を見て、その中の２枚を任意の順でデッキの下に置く。残った２枚から１枚を、相手にランダムに選ばせる。相手は選んだカードをコストを支払わずプレイする。その後、君は選ばれなかったカードをコストを支払わずプレイする。,,「こんな事もあろうかと、後継機を作っていたんだ。」 完成間近の宇宙船に聖杯を組み込みながらエドは言った。 「この船の最初のミッションは決まってるよな。」 「ああ、我らが緑色の英雄を探しに行こう！」
2021GB04-094,★,ガラクシアス・テンペスター!!,,,イベント,マジカルユニバース,ヒーロー,魔法,,,1,,,,,,使用タイミング：セットして、君が敵ユニットを３体以上破壊しているターンのアタックフェイズ終了時、相手のライフが２以下で、君が【装着】しているなら使える。 ■相手に２ダメージを与える！,,アドリアーノ「ヴォルテッカー！…いや、ステラ……いや違うな。三段突き！でもない。槍の必殺技って難しいんだよ！」
2021GB04-095,★,宇宙快速艇 ヴェルエネア号,,,ユニット,マジカルユニバース,宇宙遺産,フューチャーメン,,,2,4,5,2,OD,,【OD】「旅の道連れ」 デッキの上から３枚を見る。その中のレベル０以下の〈ピポバース・フューチャーメン〉１体をドライブしてもよい。残りを任意の順でデッキの下に置く。,,全長120メートル。中央部の銀河聖杯をエネルギー源とし、エドの発明したグラヴィティ・スタビライザーにより驚異的な速度と機動力を誇る宇宙一の快速艇。それがヴェルエネア（第九の矢）号だ。
2021GB04-096,★,デンジャラス軍団 奇怪メカ マッシュルームバンブー,,,ユニット,マジカルユニバース,エブリデイクライム,大地,,,2,4,5,1,,,■「マッシュルームシールド」 即時：［DR３］味方の〈エヴリデイクライム〉はターン終了時まで、効果ダメージを受けない。 ■「バンブーヴィレッジ」 これが君のカードや能力のコストで場を離れた時、敵ユニット１体以上を選び、４ダメージを割り振る。,,♫ キノコの基地のその奥に　タケノコのミサイルサイロがあったとさ ♫　絵にも描けない飽和攻撃だとさ ♫
2021GB04-097,★,宇宙エルフ デップ,,,ユニット,マジカルユニバース,戦士,フューチャーメン,レギンレイヴ,,2,3,3,2,CNT,,■「お宝発見」 これが攻撃した時、君の墓地の〈戦技〉のイベント１枚を選び、そのレベル分［DR］する事で、プレイしてもよい。そうしたら、そのイベントを墓地に置く代わりにデッキの下に置く。,１枚引く。その後、手札を１枚捨てる。,『黄金剣』を探してるんだ。アンタ知らないかい？
2021GB04-098,★,デンジャラス軍団　バンミキサー,,,ユニット,マジカルユニバース,アクシデンツ,エブリデイクライム,,,1,3,2,2,,,■「まぜるな危険」 これが場から離れた時、敵ユニット１体を選び、２ダメージを与える。,,♫混ぜるな危険　デンジャラス 仏の顔“で”３度まで　叩いて殴ってぶちのめす 死なばもろともあの世行き　あの世であの娘と混ざりたい♪ デンジャラス軍団パーティソング「混ざるぜ現在進行形」
2021GB04-099,★,キモカワ軍団　カリカリちゃん,,,ユニット,マジカルユニバース,エブリデイクライム,死影,闇,,1,2,5,1,,,■これが墓地から場に出た時、君か相手のダメージゾーンのカード１枚を選び、所有者のデッキの下に置く。そうしたら、そのプレイヤーの墓地のカード１枚を、そのプレイヤーのダメージゾーンに置く。,,ホラー軍団、キモカワ軍団、バイオ軍団、デンジャラス軍団……その他４軍団を含め８つの軍団全てが揃った時……エブリデイクライムに何かが起こる！
2021GB04-100,★,サメマン,,,ユニット,マジカルユニバース,サメ,ヒーロー,フューチャーメン,レギンレイヴ,0,2,1,1,,,■「私を愛したサメマン」 このカードはデッキに８枚まで入れる事ができる。 ■サメマン・タコトパシー【ターン１】」 通常：［１エナジーを支払う］君のダメージゾーンのカード２枚を表向きにする。 ■「サメマンは２度死ぬ」 これが破壊された時、これを君のダメージゾーンに置いてもよい。そうしたら、君のダメージゾーンのカード１枚を墓地に置く。,,宇宙の海では、強く優しく、時に獰猛であれ。
2021GB04-101,★,デンジャラス軍団 サルドッグ傭兵部隊,,,ユニット,マジカルユニバース,エブリデイクライム,気合,ピポバース,レギンレイヴ,0,3,1,1,,,■このカードはデッキに８枚まで入れる事ができる。 ■通常：［DR３］墓地のこれを特殊召喚する。,,互いの惑星を滅ぼしてしまい、手を組むしか無かったがゆえに傭兵団が結成された。
2021GB04-102,★,銀河聖杯,,,イベント,マジカルユニバース,アクシデンツ,宇宙遺産,,,2,,,,,,使用タイミング：即時 ■君のライフを１回復する。,,何と狡猾な！こんなところに聖杯を隠し持っていたとは！
2021GB04-103,★,銀河ヒッチハイク,,,イベント,マジカルユニバース,テクノロジー,名所,,雷,1,,,,,,使用タイミング：即時 ■以下のどちらかを行う。 ◯デッキから【CNT】を持たずレジェンドではないレベル２以下のマジカルユニバースのユニット１体を、相手に見せてデッキの上に置く。 ◯レベル２以下の味方ユニット１体を選び、場の自分の空いているゾーンに移動させる。,,「ええ。あたしは勿論『ほとんど無害』よ。目的地？そうね。『宇宙の果てのレストラン』まで、と言えば解るかしら？」
2021GB04-104,★,スペース・お化け屋敷,,,イベント,マジカルユニバース,アクシデンツ,エブリデイクライム,まじない,名所,-4,,,,,,【オープンカード】 ■このターン、お互いに攻撃できない。 ■君がジャンケンジャンキーなら、ジャンケンで決着をつけてもよい。君が勝った場合、君はこのターン、１度だけ攻撃できる。,,やーい、俺んち、おっばけやーしきぃ！ （エブリデイクライム配給アニメーション映画「となりのダイアクトー」より）
2021GB04-105,★★★★,ツノアルドン,,,ユニット,侵略次元,怪獣,雷,大地,ビースト,2,5,5,2,,,■「怪獣が出た！」 相手がユニットを場に出した君のターン中、即時タイミングでこれを手札から特殊召喚できる。,,東妖軍兵士達は不謹慎にも高揚を抑えられなかった。だって怪獣退治なんだぜ？
2021GB04-106,★★★★,彼方より来たりて終わらせる者,かなた,,ユニット,侵略次元,死影,破滅の使者,闇,,1,7,7,1,,,【召喚条件】［君の墓地にある《悪夢の落し子》を３枚除外］する。そうしなければ、これを墓地に置く。 ■「ヴァニッシュ」 これが場に出た時、場の相手のカードを３枚まで選び、ゲームから除外する。その後、ターン終了時までこれのSTK＋３する。 【貫通】,,悪夢に名をつけてはならない。
2021GB04-107,★★★★,鏖殺の戦場,おうさつ,,イベント,侵略次元,名所,歴史,,,2,,,,CNT,,使用タイミング：即時 ■［味方ユニット１体を墓地に置く］か［DR３］レベル２以下の敵ユニット１体を選び、破壊する。,■守備ゾーンの敵ユニットか【警戒】を持つ敵ユニット１体を選び、破壊する。,火雷と荒御鋒の連携により、邪神ハスターはディスティニーソードへと押し込まれ、両断された。 今やディスティニーソードは恐怖の象徴ではなく、屈することのない人類の勇気の象徴となった。
2021GB04-108,★★★,アンバーデビル ハートレス,,,ユニット,侵略次元,DWM,,,,2,2,4,1,,,【２回攻撃】 ■「フラッシュリッパー」 これが攻撃した時、［DR２/侵略次元］してもよい。そうしたら、敵ユニット１体を選び、３ダメージを与える。,,「0qdfq@;q@>uitkg6ht@kbZwe.gt@r.>」
2021GB04-109,★★★,ザムザザザムザ,,,ユニット,侵略次元,死影,大地,トレイター,ビースト,1,4,4,1,,,■「待ち焦がれた死」 相手が君のターンにユニットを場に出した時、これを破壊してもよい。そうしたら、その相手が場に出したユニットを破壊する。,,奴は生まれた時から、共に死ぬ相手を探している。
2021GB04-110,★★,獅死舞,ししまい,,ユニット,侵略次元,怪異,死影,ゾンビ,破滅の使者,0,3,1,1,,,■「黄泉の舞【ターン１】」 通常：デッキの上から３枚を見る。その中のこのユニットと同じ属性を持つカード１枚を墓地に置く。残りを任意の順でデッキの下に置く。,,侵略次元は、情報生命体すら自在に書き換える。
2021GB04-111,★,悪夢の落し子,,,ユニット,侵略次元,死影,破滅の使者,闇,,2,5,4,2,CNT,,【コスト軽減】場に君の〈死影〉があれば、［DR２］する事で、０コストでプレイしてもよい。 ■「積み重ねられる狂気」 このユニットはデッキに12枚まで入れる事が出来る。,デッキの上から４枚を見て、その中の《悪夢の落し子》１枚を墓地に置いてもよい。置いた場合、残りを任意の順でデッキの上に戻す。置かなかった場合、残りを任意の順でデッキの下に置く。,悪夢を理解してはならない。
2021GB04-112,★,クゥカラ,,,ユニット,侵略次元,オブジェ,DWM,,,0,4,1,1,CNT OD,,【OD】「兵装乗っ取り」 レベル２以下の〈ミリタリー〉の敵ユニット１体を選び、コントロールを得る。,これの『兵装乗っ取り』を使う。,ロシアで確認され、クゥカラ（人形）と呼ばれるようになったこのDWMには、突出した戦闘力はない。 だが奴らには、地球製の武器全てを使いこなせるという、恐るべき特性がある。
2021GB04-S01,SEC,フルール・ル・フェ,,,ユニット,ウォルナー,怪異,魔術師,,,1,4,4,2,TD  OD,,【TD】【OD】属性を一つ宣言する。ターン終了時まで、宣言した属性の味方ユニットはATK＋２、HP＋２される。,,なし
2021GB04-S02,SEC,鏡の国のアリス,,,ユニット,ATLAS,アリス,A7,覚醒者,,1,2,2,2,,レジェンド,■「彼女は私の夢で、私は彼女の夢の一部。」 通常：［これを除外する］君の墓地の〈アリス〉１体を選び、特殊召喚する。,,夢の中では私は戦士で、全ての世界を消してしまおうとする悪い人たちと戦うの。
